Name,State,OS,vCPU,Memory,TotalSpace,DriveCount
docproc02-a-V2V,PoweredOn,Red Hat Fedora (64-bit),4,16384,24,1
Don01-k,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,4225,1
don01-m,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,124,1
don01-p,PoweredOn,Microsoft Windows Server 2016 (64-bit),16,167936,8982,1
don01-t,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,36864,2213,1
don02-m,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,124,1
don02-t,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,36864,209,1
don-p,PoweredOn,Microsoft Windows Server 2012 (64-bit),8,65536,2241,1
dsub01-a-V2V,PoweredOn,Red Hat Fedora (64-bit),8,16384,24,1
dsub01-i-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
ebcdb01-p,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,5761,1
ebcdb01-t,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,1665,1
ebcdb02-p,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,5761,1
ebcdb02-t,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,1665,1
ebl-sandbox01,PoweredOn,Microsoft Windows Server 2012 (64-bit),8,49152,3200,1
ebl-sandbox02,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
elk01-t,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
ezproxy01-a,PoweredOn,CentOS 4/5 or later (64-bit),1,4096,20,1
ezproxy01-c,PoweredOn,CentOS 4/5 or later (64-bit),1,4096,20,1
ezproxy01-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
ezproxy01-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
ezproxy02-a,PoweredOn,CentOS 4/5 or later (64-bit),1,4096,20,1
ezproxy02-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
ezproxy02-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
fm01-p,PoweredOn,Microsoft Windows Server 2012 (64-bit),4,131072,1027,1
fm01-t,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,16384,195,1
Fs01-k,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,7304,1
fs01-m,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,2182,1
fs01-p,PoweredOn,Microsoft Windows Server 2012 (64-bit),4,32768,30870,1
ftp01,PoweredOn,CentOS 6 (64-bit),2,2048,1248,1
ftp01-m,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
ftp01-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,1048,1
ftp01-t,PoweredOn,CentOS 6 (64-bit),2,8192,56,1
ftp02-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
galaxy01-a-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
geoip01-a,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
gerrit01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
github-V2V,PoweredOn,CentOS 4/5 or later (64-bit),4,8192,32,1
Grande01-k,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,1665,1
grande01-m,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,124,1
grande01-p,PoweredOn,Microsoft Windows Server 2016 (64-bit),16,163840,3617,1
grande01-t,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,36864,2213,1
grande02-m,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
grande02-t,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,124,1
ha01-k,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
ha01-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
ha01-p,PoweredOn,CentOS 6 (64-bit),4,16384,96,1
ha01-t,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
