Name,Powerstate,CPU,RAM,NICs,Disks,SpaceGB,OS
sqgs-fep01,poweredOn,1,4,1,1,54,Microsoft Windows Server 2016 (64-bit)
SRS OSI From Template,poweredOff,2,2,1,1,"4,610",
srsimage,poweredOff,2,2,1,1,"4,616",Red Hat Enterprise Linux 7 (64-bit)
svr-plz-inf2,poweredOn,4,8,1,2,558,Microsoft Windows Server 2012 (64-bit)
svr-plz-inf3,poweredOn,4,8,1,2,558,Microsoft Windows Server 2012 (64-bit)
svr-plz-inf4,poweredOn,4,8,1,2,508,Microsoft Windows Server 2012 (64-bit)
svr-plz-inf6,poweredOn,4,8,1,2,558,Microsoft Windows Server 2012 (64-bit)
test_dcas_2,poweredOn,2,4,1,2,49,Red Hat Enterprise Linux 7 (64-bit)
twconnect,poweredOn,6,128,1,2,"2,445",Other 3.x or later Linux (64-bit)
vCenter_Hyperic_Server,poweredOff,8,12,1,1,28,
verodin-corp,poweredOn,2,2,2,1,22,
verodin-director,poweredOn,4,8,1,1,168,
verodin-dmzwdev,poweredOn,2,2,2,1,22,
vFabric_vPostgres_DB,poweredOff,8,12,1,1,87,SUSE Linux Enterprise 11 (64-bit)
vmpoc01,poweredOn,2,4,1,1,54,Microsoft Windows Server 2012 (64-bit)
vmpoc09,poweredOn,1,4,1,1,54,Microsoft Windows Server 2016 (64-bit)
vmpoc10,poweredOff,1,4,1,1,54,
vmpoc20,poweredOn,2,4,1,1,54,Microsoft Windows Server 2012 (64-bit)
vmpoc23,poweredOn,2,8,2,2,53,Red Hat Enterprise Linux 6 (64-bit)
VMware TAM Data Manager,poweredOff,1,2,1,1,42,SUSE Linux Enterprise 11 (64-bit)
VMware vCAC Appliance,poweredOff,2,8,1,2,38,SUSE Linux Enterprise 11 (64-bit)
vra,poweredOn,4,18,1,4,158,SUSE Linux Enterprise 11 (64-bit)
vra-iaas,poweredOn,4,16,1,1,116,Microsoft Windows Server 2012 (64-bit)
vra-iaas-qa,poweredOn,4,16,1,1,116,Microsoft Windows Server 2012 (64-bit)
vra-qa,poweredOn,4,18,1,4,158,SUSE Linux Enterprise 11 (64-bit)
vrb,poweredOn,4,8,1,1,54,SUSE Linux Enterprise 12 (64-bit)
vxms-ddc,poweredOn,2,8,4,1,845,CentOS 4/5/6/7 (64-bit)
W2K8R2DCSP1,poweredOff,1,4,1,1,54,Microsoft Windows Server 2008 R2 (64-bit)
Windows2008R2_AP_Template,poweredOff,1,4,1,1,54,Microsoft Windows Server 2008 R2 (64-bit)
Windows2012_Standard,poweredOff,1,4,1,1,54,Microsoft Windows Server 2012 (64-bit)
Windows2012R2_StandardEdition,poweredOff,1,4,1,1,24,Microsoft Windows Server 2012 (64-bit)
Windows2016,poweredOff,1,4,1,1,54,Microsoft Windows Server 2016 (64-bit)
Windows2016_SOC,poweredOff,1,4,1,1,54,
Windows2019,poweredOn,1,4,1,1,64,Microsoft Windows Server 2016 (64-bit)
